Algorithm;TreeLength;Problem;testR2;trainingR2;time;Evaluations;Generations;Fold;Rows;Columns;ModelLength;ModelDepth;Threshold
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;4;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;5;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;6;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;0,999999999999999;00:10:36.3440000;67266;100;7;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;8;400;3;5;4;0,001
GAprun;100;strogatz_vdp2.tsv;1;1;00:10:36.3440000;67266;100;9;400;3;5;4;0,001
OSGAstd;10;229_pwLinear.tsv;0,764924630234567;0,701194410992991;00:22:33.2730000;273066;11;0;200;11;13;8;-1
OSGAstd;10;229_pwLinear.tsv;0,784923276055324;0,744234217717731;00:22:33.2730000;201866;11;1;200;11;14;9;-1
OSGAstd;10;229_pwLinear.tsv;0,757742518040303;0,70728361364601;00:22:33.2730000;262266;10;2;200;11;13;8;-1
OSGAstd;10;229_pwLinear.tsv;0,688493693269378;0,706457198179343;00:22:33.2730000;214166;11;3;200;11;14;8;-1
OSGAstd;10;229_pwLinear.tsv;0,784992594656711;0,725633681769972;00:22:33.2730000;222366;11;4;200;11;14;8;-1
OSGAstd;10;229_pwLinear.tsv;0,415517452718696;0,712059325373148;00:22:33.2730000;272866;13;5;200;11;14;9;-1
OSGAstd;10;229_pwLinear.tsv;0,831582831893237;0,726697836708991;00:22:33.2730000;200966;14;6;200;11;14;9;-1
OSGAstd;10;229_pwLinear.tsv;0,603651546846961;0,71470585009705;00:22:33.2730000;323066;11;7;200;11;14;9;-1
OSGAstd;10;229_pwLinear.tsv;0,547431938307016;0,721940671594776;00:22:33.2730000;222766;12;8;200;11;13;8;-1
OSGAstd;10;229_pwLinear.tsv;0,506701035455913;0,742966144288131;00:22:33.2730000;223466;12;9;200;11;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,455662118460255;0,95536854219031;00:21:52.9910000;225566;15;0;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,988900187609853;0,933327642074565;00:21:52.9910000;367866;12;1;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,928846453555542;0,933845316846726;00:21:52.9910000;212566;15;2;209;7;13;8;-1
OSGAstd;10;230_machine_cpu.tsv;0,981925561275433;0,937590765750374;00:21:52.9910000;202866;12;3;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,934387003719533;0,94112215614974;00:21:52.9910000;203666;13;4;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,93612978632759;0,942505199085687;00:21:52.9910000;265166;14;5;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,733149263213399;0,93960983357121;00:21:52.9910000;201766;11;6;209;7;13;8;-1
OSGAstd;10;230_machine_cpu.tsv;0,899395936279602;0,944905921705721;00:21:52.9910000;220666;14;7;209;7;14;9;-1
OSGAstd;10;230_machine_cpu.tsv;0,895663515818457;0,938150737208054;00:21:52.9910000;204166;14;8;209;7;13;8;-1
OSGAstd;10;230_machine_cpu.tsv;0,985787722660948;0,940886465150826;00:21:52.9910000;205366;12;9;209;7;14;9;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,943619929470237;0,739130071978021;00:16:10.0250000;228766;12;0;48;5;14;8;-1
OSGAstd;10;485_analcatdata_vehicle.tsv;0,629277603084641;0,72360736913525;00:16:10.0250000;200266;10;1;48;5;12;7;-1
